ticker,date,raw_rows,final_rows,duplicates_removed,dup_pct,crossed_quotes,crossed_quotes_pct,nbbo_coverage_pct,trades_dropped_by_cond,trades_dropped_no_nbbo,unknown_cond_codes,processing_time_seconds,dropped_invalid_price,dropped_invalid_size,dropped_nulls,status,output_path
CCL,10-8-25,181195,11413,48787,26.92513590330859,18,0.16219138583528564,99.96746439158413,16240,9,,17.192649364471436,0,0,0,success,data\clean\CCL\CCL_10-8-25_clean.parquet
CNC,10-2-25,234249,8732,94838,40.48615142925446,53,0.4380165289256198,100.0,11942,0,,18.05290198326111,0,0,0,success,data\clean\CNC\CNC_10-2-25_clean.parquet
CCL,10-2-25,201685,13143,51741,25.654489200928182,37,0.30833333333333335,99.99710765314977,21430,1,,19.057448387145996,0,0,0,success,data\clean\CCL\CCL_10-2-25_clean.parquet
CCL,10-7-25,208006,11755,55226,26.550323309535827,20,0.15440438508453638,100.0,18934,0,,19.309690475463867,0,0,0,success,data\clean\CCL\CCL_10-7-25_clean.parquet
CCL,10-6-25,211364,15007,52864,25.01100003311838,29,0.22468427984814443,100.0,19920,0,,19.72382164001465,0,0,0,success,data\clean\CCL\CCL_10-6-25_clean.parquet
CNC,10-3-25,259086,11337,101796,39.29058031148079,56,0.42842934741029765,100.0,18827,0,,19.994843244552612,0,0,0,success,data\clean\CNC\CNC_10-3-25_clean.parquet
CCL,10-3-25,219056,13972,56774,25.91769190385976,19,0.132201502922349,99.99687343671836,18011,1,,20.68150758743286,0,0,0,success,data\clean\CCL\CCL_10-3-25_clean.parquet
CNC,10-8-25,141609,8209,46440,32.794525771667054,40,0.4857316332726169,100.0,13782,0,,13.121298551559448,0,0,0,success,data\clean\CNC\CNC_10-8-25_clean.parquet
DAL,10-2-25,145673,5208,50829,34.89253327658523,24,0.24222850222042794,100.0,10067,0,,13.62623381614685,0,0,0,success,data\clean\DAL\DAL_10-2-25_clean.parquet
CNC,10-6-25,244295,9944,88058,36.0459118930469,62,0.4710530314541863,100.0,14548,0,,19.347607851028442,0,0,0,success,data\clean\CNC\CNC_10-6-25_clean.parquet
CNC,10-7-25,250160,11267,87085,34.81185965725798,53,0.41251556662515565,100.0,16763,0,,19.45137047767639,0,0,0,success,data\clean\CNC\CNC_10-7-25_clean.parquet
